upi_length,entropy,num_digits,seen_before,report_count,amount_ratio,first_time_user,label
35,0.8366,4,0,13,2.735,1,1
11,1.0,0,1,0,0.906,0,0
11,0.8982,0,1,0,0.882,0,0
12,0.9167,3,1,0,0.981,1,0
9,1.0,0,1,0,1.644,1,0
12,1.0,3,0,0,0.73,0,0
14,0.9167,3,1,0,0.71,0,0
20,0.9012,1,0,8,3.589,0,1
17,0.9398,3,1,0,2.187,0,0
17,0.9398,1,0,4,1.996,1,1
20,0.9474,3,0,4,3.514,0,1
24,0.832,6,0,2,5.021,1,1
20,0.8949,8,0,1,11.854,0,1
24,0.8668,5,1,0,0.966,0,0
22,0.874,2,0,2,2.635,1,1
24,0.8668,5,1,0,0.6695,0,0
16,1.0,0,1,0,0.739,1,0
16,0.8225,8,0,3,6.478,0,1
14,0.9398,3,1,0,0.481,1,0
24,0.8567,4,0,0,0.884,0,0
18,0.8949,8,0,2,2.72,0,1
11,1.0,0,1,1,1.076,1,0
15,1.0,3,1,0,0.721,0,0
21,0.8753,2,1,4,4.696,1,1
20,0.8358,5,0,0,2.211,0,0
17,0.9474,8,0,0,1.596,1,1
12,1.0,3,1,0,1.131,1,0
9,1.0,0,0,0,0.645,1,0
20,0.9189,3,0,3,3.57,1,1
12,0.9167,3,1,0,0.994,1,0
13,0.8982,0,1,0,2.731,0,0
24,0.8034,5,1,0,1.941,0,0
22,0.8401,5,1,0,1.9394,0,0
27,0.91,6,0,6,4.925,0,1
21,0.8452,5,1,0,1.7815,0,0
18,1.0,3,0,0,1.612,0,0
27,0.9201,5,0,1,7.263,1,1
13,1.0,3,0,0,1.417,1,0
19,0.9167,3,0,0,0.968,0,0
16,0.8277,0,1,0,0.936,1,0
16,0.7372,8,0,6,12.639,1,1
13,1.0,3,1,0,0.799,0,0
20,0.8635,4,0,2,2.862,1,1
14,1.0,3,0,1,0.796,0,0
23,0.8567,4,0,4,8.738,1,1
9,1.0,0,0,0,0.781,0,0
13,0.9167,3,1,0,0.841,0,0
9,0.8277,0,1,0,1.184,1,0
14,1.0,3,0,0,1.082,0,0
11,1.0,0,1,1,0.833,0,0
