domain_length,digit_count,hyphen_count,known_brand_similarity,tld_risk_score,label
22,11,5,0.5647,0.9,1
27,12,1,0.7457,0.85,1
19,9,2,0.77,0.85,1
22,3,5,0.5086,0.85,1
29,8,2,0.8247,0.85,1
40,12,2,0.9398,0.9,1
15,4,1,0.8482,0.8,1
25,7,4,0.5484,0.85,1
37,6,3,0.5359,0.85,1
27,4,3,0.6622,0.85,1
36,6,5,0.6507,0.85,1
30,7,1,0.889,0.85,1
11,2,1,0.2618,0.15,0
11,0,1,0.0758,0.1,0
26,0,2,0.4242,0.2,1
12,1,1,0.3007,0.15,0
29,6,4,0.7796,0.8,1
10,2,0,0.0184,0.15,0
6,1,1,0.0992,0.1,0
9,2,1,0.2507,0.1,0
36,12,3,0.7926,0.9,1
39,8,4,0.5824,0.85,1
8,2,1,0.0851,0.1,0
30,6,5,0.7227,0.85,1
22,3,2,0.7712,0.85,1
12,2,0,0.116,0.1,0
31,3,3,0.6917,0.85,1
6,2,1,0.1652,0.1,0
8,1,1,0.1221,0.1,0
34,8,5,0.7847,0.9,1
28,9,1,0.9184,0.85,1
14,2,1,0.3341,0.15,0
12,2,1,0.2641,0.1,0
29,9,2,0.7749,0.8,1
25,4,5,0.7456,0.85,1
18,7,1,0.5088,0.85,1
27,8,1,0.5629,0.85,1
30,7,5,0.7702,0.85,1
34,10,3,0.89,0.9,1
21,7,3,0.5127,0.8,1
30,11,1,0.7736,0.8,1
15,0,2,0.4211,0.2,1
14,1,0,0.3614,0.15,0
39,12,5,0.5764,0.85,1
8,1,0,0.2615,0.15,0
22,5,2,0.8096,0.85,1
11,0,1,0.2443,0.1,0
18,9,2,0.5719,0.85,1
35,8,3,0.8601,0.85,1
34,7,3,0.8467,0.85,1
24,0,2,0.2667,0.5,1
15,0,0,0.1421,0.15,0
10,1,0,0.2729,0.15,0
17,4,1,0.6912,0.9,1
13,0,0,0.1351,0.1,0
24,6,1,0.5099,0.9,1
8,0,1,0.0366,0.15,0
8,1,1,0.2318,0.15,0
39,9,1,0.5884,0.85,1
15,8,4,0.7819,0.9,1
6,2,1,0.3109,0.1,0
5,2,0,0.1957,0.1,0
11,0,0,0.3311,0.1,0
31,12,5,0.6,0.8,1
31,6,2,0.8184,0.85,1
13,0,1,0.2306,0.15,0
9,2,0,0.1192,0.15,0
6,0,1,0.2966,0.1,0
5,0,1,0.1756,0.1,0
22,9,1,0.8666,0.85,1
25,0,2,0.3333,0.9,1
9,1,1,0.3077,0.15,0
5,2,0,0.1012,0.1,0
20,3,4,0.8279,0.85,1
26,3,5,0.8594,0.8,1
6,1,1,0.2329,0.15,0
6,1,0,0.3319,0.1,0
5,1,1,0.2483,0.1,0
35,5,5,0.9268,0.8,1
11,0,0,0.0897,0.1,0
22,11,4,0.6308,0.8,1
10,2,0,0.2079,0.15,0
12,2,1,0.0294,0.1,0
20,12,4,0.5454,0.8,1
16,11,2,0.808,0.8,1
29,3,4,0.7572,0.85,1
11,0,0,0.2681,0.1,0
8,2,0,0.2554,0.1,0
39,8,2,0.8463,0.85,1
11,0,0,0.0475,0.1,0
20,11,5,0.826,0.85,1
17,10,1,0.9291,0.85,1
15,1,0,0.2422,0.1,0
16,4,1,0.9226,0.9,1
6,1,0,0.3434,0.1,0
9,1,0,0.2393,0.15,0
8,0,1,0.3244,0.1,0
14,0,1,0.6667,0.9,1
11,1,0,0.1947,0.15,0
38,9,2,0.565,0.9,1
38,8,4,0.6386,0.8,1
12,0,1,0.1788,0.1,0
7,1,1,0.1277,0.1,0
30,6,2,0.7849,0.85,1
13,0,1,0.039,0.1,0
15,0,1,0.2273,0.15,0
19,8,5,0.9432,0.9,1
30,6,4,0.7725,0.9,1
25,12,4,0.8626,0.9,1
40,7,1,0.8021,0.9,1
17,12,3,0.8981,0.85,1
17,11,5,0.6032,0.85,1
11,2,0,0.2959,0.1,0
31,8,2,0.7105,0.85,1
9,0,0,0.278,0.15,0
8,2,0,0.3093,0.1,0
16,12,4,0.7675,0.85,1
31,7,3,0.7941,0.8,1
33,11,1,0.7176,0.85,1
8,0,0,0.064,0.1,0
6,1,0,0.1815,0.1,0
39,6,4,0.6664,0.85,1
26,9,4,0.8261,0.8,1
7,1,1,0.0723,0.15,0
5,0,0,0.0217,0.1,0
8,0,0,0.2478,0.1,0
34,4,2,0.7999,0.9,1
29,11,3,0.6007,0.85,1
34,9,5,0.7883,0.9,1
12,1,0,0.0466,0.1,0
15,2,1,0.1665,0.1,0
39,11,4,0.7985,0.85,1
8,2,0,0.1542,0.15,0
8,0,0,0.2992,0.1,0
40,5,1,0.5405,0.8,1
29,11,5,0.6514,0.8,1
5,0,1,0.1612,0.15,0
22,4,2,0.832,0.9,1
10,2,1,0.0821,0.1,0
7,1,0,0.194,0.15,0
5,2,0,0.1088,0.15,0
18,11,5,0.5772,0.85,1
12,2,0,0.0888,0.1,0
38,6,4,0.5812,0.9,1
9,0,0,0.241,0.15,0
32,11,1,0.8898,0.8,1
8,0,0,0.2532,0.1,0
8,1,0,0.0956,0.15,0
6,2,0,0.3691,0.15,0
8,2,1,0.3902,0.1,0
7,2,0,0.3168,0.1,0
14,0,1,0.3381,0.15,0
21,4,4,0.8051,0.85,1
10,0,0,0.2586,0.1,0
28,3,1,0.9461,0.85,1
17,4,3,0.5636,0.8,1
22,5,2,0.6511,0.8,1
38,7,2,0.5926,0.85,1
16,12,5,0.9038,0.8,1
20,4,1,0.5017,0.9,1
7,0,0,0.1217,0.1,0
14,2,0,0.2354,0.1,0
21,0,2,0.3846,0.2,1
7,1,0,0.3287,0.15,0
11,1,1,0.3343,0.15,0
5,2,0,0.3974,0.1,0
12,1,1,0.2166,0.1,0
32,4,5,0.8592,0.8,1
31,3,2,0.647,0.8,1
12,0,0,0.3372,0.1,0
5,2,1,0.2174,0.15,0
22,0,2,0.3077,0.85,1
15,1,1,0.0847,0.1,0
23,11,1,0.7721,0.9,1
7,1,1,0.1937,0.1,0
18,9,1,0.5721,0.85,1
5,1,0,0.3036,0.1,0
12,1,1,0.0321,0.15,0
11,2,1,0.0167,0.1,0
11,0,1,0.0246,0.1,0
9,1,1,0.289,0.1,0
19,3,5,0.939,0.85,1
6,2,0,0.2907,0.1,0
8,2,1,0.1162,0.1,0
17,6,1,0.7046,0.85,1
29,3,1,0.671,0.8,1
21,5,5,0.948,0.8,1
23,12,1,0.8142,0.8,1
19,8,5,0.9298,0.85,1
15,1,0,0.2262,0.1,0
7,2,1,0.3675,0.15,0
10,2,1,0.0451,0.15,0
32,5,5,0.8808,0.85,1
19,12,4,0.8706,0.85,1
6,1,1,0.125,0.1,0
10,2,1,0.027,0.1,0
12,1,1,0.3025,0.15,0
10,2,0,0.0045,0.1,0
30,9,5,0.9137,0.9,1
11,0,1,0.0611,0.15,0
18,10,2,0.5672,0.85,1
39,9,3,0.8361,0.9,1
18,10,2,0.8538,0.8,1
16,3,2,0.8607,0.85,1
28,6,5,0.7272,0.85,1
27,12,5,0.9478,0.8,1
23,9,1,0.7927,0.8,1
7,1,0,0.1253,0.1,0
14,0,1,0.1102,0.1,0
32,10,1,0.809,0.8,1
10,0,0,0.2362,0.1,0
23,10,4,0.6144,0.85,1
38,11,2,0.8336,0.85,1
22,10,3,0.8633,0.8,1
37,5,5,0.825,0.85,1
38,3,3,0.6169,0.85,1
12,0,0,0.5882,0.5,1
15,0,1,0.0802,0.1,0
8,0,1,0.0706,0.1,0
10,0,1,0.3116,0.1,0
15,2,1,0.0176,0.1,0
31,11,1,0.9146,0.8,1
7,0,0,0.9231,0.5,1
15,0,0,0.3644,0.1,0
28,4,3,0.6728,0.9,1
7,0,0,0.2954,0.1,0
16,8,1,0.9125,0.8,1
5,2,1,0.3403,0.15,0
12,1,1,0.3441,0.1,0
21,10,4,0.8461,0.85,1
13,1,0,0.195,0.1,0
11,2,0,0.2826,0.1,0
19,10,4,0.5948,0.9,1
11,1,1,0.1491,0.1,0
9,2,0,0.2439,0.15,0
36,5,3,0.7464,0.85,1
11,0,0,0.1836,0.15,0
7,2,0,0.3287,0.15,0
8,1,1,0.1803,0.15,0
31,6,2,0.9339,0.9,1
40,5,4,0.7393,0.8,1
23,9,4,0.6966,0.9,1
12,1,0,0.3222,0.15,0
14,2,1,0.2465,0.1,0
10,0,1,0.227,0.1,0
24,12,1,0.9354,0.8,1
22,10,3,0.6508,0.8,1
5,1,0,0.262,0.1,0
16,10,1,0.6414,0.85,1
36,6,3,0.7116,0.8,1
32,10,2,0.6217,0.85,1
8,0,1,0.3683,0.1,0
15,1,0,0.238,0.1,0
8,1,1,0.146,0.1,0
40,8,1,0.9363,0.85,1
11,1,0,0.3151,0.1,0
23,11,4,0.5772,0.85,1
6,1,0,0.135,0.1,0
14,0,1,0.31,0.1,0
9,2,1,0.0759,0.1,0
14,1,1,0.197,0.1,0
13,1,1,0.2346,0.15,0
11,2,1,0.0571,0.1,0
34,3,5,0.5086,0.8,1
15,4,5,0.6569,0.85,1
15,1,1,0.2594,0.15,0
30,8,2,0.7608,0.9,1
10,0,0,0.3384,0.1,0
36,11,5,0.7575,0.8,1
29,7,5,0.5594,0.85,1
17,7,5,0.5329,0.85,1
30,9,3,0.8432,0.85,1
9,2,0,0.3464,0.15,0
40,6,5,0.7263,0.85,1
8,2,1,0.3626,0.15,0
12,0,1,0.2105,0.85,1
40,11,5,0.508,0.85,1
20,9,4,0.5628,0.85,1
5,0,1,0.3611,0.1,0
12,0,1,0.0312,0.15,0
11,1,1,0.3897,0.1,0
7,0,0,0.0428,0.1,0
5,0,1,0.3216,0.15,0
10,0,1,0.084,0.1,0
37,12,5,0.6067,0.9,1
31,12,4,0.5896,0.85,1
24,12,5,0.5893,0.9,1
22,4,1,0.8228,0.85,1
11,2,1,0.2709,0.1,0
26,11,5,0.5949,0.8,1
8,0,0,0.1167,0.15,0
29,9,1,0.5726,0.9,1
11,2,0,0.3514,0.15,0
30,4,4,0.7802,0.85,1
10,1,0,0.3061,0.15,0
15,0,0,0.0571,0.15,0
8,2,1,0.0673,0.1,0
14,2,0,0.1985,0.15,0
6,0,0,0.9091,0.85,1
36,8,5,0.7533,0.8,1
7,2,0,0.2622,0.1,0
11,2,0,0.1967,0.1,0
38,12,4,0.7646,0.85,1
5,1,0,0.1173,0.1,0
14,0,1,0.2201,0.1,0
25,11,4,0.7556,0.85,1
16,4,1,0.6845,0.85,1
24,5,2,0.8079,0.85,1
35,10,5,0.9432,0.85,1
6,1,1,0.0647,0.1,0
35,3,4,0.7327,0.9,1
29,6,2,0.9188,0.85,1
34,9,1,0.8033,0.8,1
39,10,3,0.7457,0.9,1
8,2,0,0.3125,0.15,0
7,0,0,0.3217,0.1,0
9,0,0,0.3815,0.1,0
9,2,1,0.1662,0.1,0
39,11,1,0.6902,0.85,1
40,12,4,0.8283,0.85,1
28,9,1,0.7337,0.85,1
5,0,1,0.1852,0.15,0
23,6,3,0.6537,0.8,1
22,12,5,0.7148,0.85,1
10,2,0,0.2136,0.15,0
30,8,1,0.6531,0.8,1
13,0,1,0.3916,0.1,0
18,5,4,0.9303,0.85,1
16,0,1,0.72,0.5,1
10,1,0,0.0285,0.15,0
13,1,1,0.1421,0.1,0
35,6,2,0.8944,0.85,1
13,0,0,0.2082,0.15,0
20,4,4,0.6185,0.8,1
5,2,1,0.2935,0.1,0
15,2,0,0.3917,0.1,0
15,4,1,0.79,0.8,1
13,1,0,0.0899,0.1,0
25,5,3,0.5292,0.85,1
23,8,2,0.7096,0.85,1
15,10,4,0.8636,0.85,1
5,1,1,0.2839,0.1,0
22,4,3,0.9071,0.85,1
21,10,3,0.7367,0.85,1
39,7,5,0.9216,0.9,1
8,2,1,0.0501,0.1,0
29,4,2,0.8202,0.8,1
18,4,1,0.8583,0.85,1
11,1,1,0.1193,0.1,0
13,2,0,0.2778,0.1,0
22,6,1,0.5072,0.85,1
20,12,5,0.5609,0.8,1
33,12,2,0.929,0.9,1
18,3,2,0.5389,0.9,1
15,1,1,0.329,0.1,0
12,2,1,0.0596,0.15,0
40,3,3,0.844,0.8,1
8,0,1,0.3589,0.15,0
13,1,1,0.2893,0.1,0
10,0,1,0.3665,0.15,0
10,1,0,0.0823,0.1,0
7,0,1,0.3167,0.1,0
15,8,2,0.806,0.85,1
19,11,2,0.6107,0.9,1
16,10,5,0.789,0.9,1
27,12,5,0.9441,0.85,1
14,2,1,0.0536,0.15,0
37,4,1,0.8854,0.9,1
25,5,1,0.64,0.9,1
11,1,0,0.231,0.1,0
25,8,2,0.6663,0.8,1
40,5,3,0.6112,0.85,1
7,1,0,0.1885,0.15,0
12,0,0,0.2973,0.1,0
7,1,0,0.35,0.15,0
14,2,0,0.3836,0.15,0
38,8,4,0.5783,0.8,1
8,1,0,0.0876,0.1,0
11,0,1,0.0343,0.15,0
16,11,2,0.8232,0.85,1
20,12,4,0.9268,0.85,1
12,1,0,0.2482,0.15,0
26,5,3,0.6502,0.85,1
37,4,4,0.5573,0.85,1
16,8,2,0.7055,0.85,1
12,0,1,0.1007,0.1,0
34,12,4,0.7858,0.85,1
5,1,0,0.0781,0.1,0
13,2,0,0.0737,0.1,0
10,0,1,0.3506,0.15,0
37,12,4,0.6939,0.9,1
15,2,0,0.1333,0.1,0
18,5,2,0.6325,0.9,1
15,8,4,0.8993,0.85,1
11,1,0,0.3901,0.1,0
12,0,1,0.5882,0.85,1
10,0,0,0.2594,0.15,0
29,12,3,0.9192,0.85,1
9,1,0,0.1471,0.15,0
8,0,0,0.2245,0.15,0
30,9,1,0.9284,0.85,1
20,11,4,0.761,0.85,1
13,1,0,0.3889,0.15,0
14,1,1,0.1535,0.15,0
24,5,3,0.9143,0.8,1
10,2,1,0.3157,0.1,0
10,0,1,0.1307,0.1,0
32,5,1,0.8325,0.85,1
22,0,2,0.3077,0.2,1
6,2,0,0.1393,0.1,0
15,0,0,0.0502,0.1,0
13,1,0,0.1769,0.1,0
14,2,0,0.2252,0.1,0
28,3,5,0.5568,0.9,1
24,12,3,0.5488,0.85,1
33,9,3,0.8085,0.8,1
24,11,2,0.5552,0.9,1
37,10,1,0.5457,0.9,1
15,2,1,0.0799,0.1,0
14,1,1,0.1568,0.15,0
29,4,2,0.6385,0.9,1
29,12,1,0.8318,0.85,1
6,1,1,0.2408,0.15,0
13,1,1,0.2847,0.15,0
6,0,0,0.3321,0.1,0
6,1,1,0.0413,0.1,0
10,1,0,0.2327,0.1,0
14,0,1,0.2656,0.15,0
15,2,0,0.111,0.1,0
29,4,5,0.5916,0.9,1
17,6,5,0.5664,0.85,1
10,1,1,0.3871,0.1,0
11,2,1,0.0288,0.1,0
19,7,5,0.5324,0.85,1
13,1,1,0.2697,0.15,0
35,10,1,0.7942,0.85,1
6,2,0,0.3198,0.15,0
23,4,5,0.9194,0.8,1
13,2,0,0.0389,0.15,0
15,7,3,0.87,0.8,1
15,0,0,0.2883,0.1,0
19,0,2,0.3478,0.9,1
13,2,1,0.0928,0.1,0
6,0,1,0.3441,0.15,0
14,1,0,0.3138,0.1,0
12,1,1,0.0273,0.15,0
6,1,0,0.2208,0.15,0
5,0,0,1.0,0.1,0
5,1,1,0.2757,0.1,0
8,2,1,0.3158,0.1,0
35,7,3,0.7591,0.85,1
18,6,4,0.8263,0.85,1
40,11,5,0.5698,0.85,1
13,2,0,0.0981,0.15,0
10,1,1,0.2708,0.1,0
30,4,1,0.6029,0.8,1
20,0,2,0.6207,0.85,1
23,3,3,0.7432,0.85,1
38,12,5,0.7491,0.85,1
6,0,0,0.1907,0.1,0
11,0,0,0.2125,0.15,0
9,0,1,0.3413,0.1,0
22,9,2,0.7726,0.85,1
8,0,0,0.3211,0.1,0
19,6,3,0.6945,0.8,1
8,2,0,0.0175,0.1,0
19,12,1,0.6047,0.85,1
16,9,2,0.5973,0.8,1
10,2,0,0.1958,0.1,0
8,2,1,0.0714,0.1,0
15,2,1,0.0882,0.15,0
28,11,5,0.5206,0.85,1
15,1,1,0.2801,0.15,0
37,5,5,0.583,0.85,1
15,0,0,0.0538,0.15,0
15,0,1,0.1494,0.1,0
6,0,1,0.0599,0.1,0
10,1,0,0.2082,0.15,0
10,1,1,0.0429,0.1,0
30,6,5,0.7642,0.8,1
40,11,1,0.9289,0.9,1
15,2,1,0.1994,0.1,0
29,10,1,0.8806,0.9,1
22,4,1,0.7159,0.85,1
31,8,5,0.8957,0.8,1
11,1,0,0.3953,0.1,0
10,1,1,0.391,0.15,0
14,0,0,0.2019,0.1,0
17,3,4,0.6665,0.9,1
8,1,0,0.0775,0.1,0
39,8,1,0.7097,0.9,1
16,6,4,0.5191,0.9,1
28,3,4,0.8416,0.9,1
9,0,0,0.2227,0.1,0
28,8,1,0.626,0.85,1
10,2,1,0.1675,0.15,0
15,1,1,0.0705,0.15,0
35,8,1,0.7407,0.9,1
28,9,3,0.5548,0.8,1
22,7,1,0.5014,0.85,1
17,12,5,0.9404,0.85,1
8,0,1,0.2233,0.1,0
21,7,1,0.9316,0.8,1
6,0,0,0.191,0.1,0
15,10,5,0.9355,0.8,1
31,11,1,0.7338,0.85,1
6,1,1,0.3545,0.15,0
14,2,0,0.0589,0.1,0
10,2,1,0.1899,0.1,0
5,1,1,0.2224,0.15,0
10,0,0,0.1532,0.1,0
33,8,5,0.8841,0.8,1
12,0,0,0.2868,0.1,0
